"","price","abtest","vehicleType","yearOfRegistration","gearbox","powerPS","kilometer","fuelType","notRepairedDamage"
"304",15750,"test","kleinwagen",2014,"manuell",86,10000,"benzin","nein"
"305",1200,"control","kombi",2000,"manuell",144,150000,"benzin","ja"
"306",13500,"control","cabrio",2009,"manuell",160,70000,"benzin","nein"
"307",29000,"control","limousine",2012,"automatik",258,125000,"diesel","nein"
"308",179999,"test","coupe",2015,"automatik",476,5000,"benzin","nein"
"309",2699,"test","kombi",2006,"manuell",147,150000,"lpg","nein"
"310",6500,"control","kleinwagen",2012,"manuell",69,20000,"benzin","nein"
"311",2999,"test","kleinwagen",2006,"manuell",95,150000,"benzin","nein"
"312",4390,"control","cabrio",2008,"automatik",45,150000,"diesel","nein"
"313",2650,"control","kleinwagen",2007,"manuell",69,90000,"benzin","nein"
"314",25500,"control","bus",2011,"manuell",179,150000,"diesel","nein"
"315",3690,"test","bus",2005,"manuell",101,150000,"diesel","nein"
"316",5500,"test","limousine",2006,"manuell",95,150000,"benzin","nein"
"317",4500,"control","kleinwagen",2007,"manuell",80,150000,"benzin","nein"
"318",2500,"control","kombi",2006,"manuell",145,150000,"lpg","nein"
"319",2500,"control","kleinwagen",2004,"manuell",72,80000,"benzin","nein"
"320",4000,"test","cabrio",2004,"manuell",125,125000,"benzin","nein"
"321",1650,"control","kleinwagen",2003,"manuell",75,150000,"benzin","nein"
"322",1480,"control","kombi",2000,"automatik",125,150000,"benzin","nein"
"323",14000,"control","kombi",2011,"manuell",140,150000,"diesel","nein"
"324",9700,"test","limousine",2011,"manuell",141,60000,"benzin","nein"
"325",6900,"control","kombi",2007,"manuell",129,150000,"benzin","nein"
"326",5900,"control","limousine",2006,"manuell",116,150000,"benzin","nein"
"327",900,"control","kombi",2000,"automatik",170,150000,"diesel","nein"
"328",6900,"test","limousine",2006,"manuell",140,150000,"diesel","nein"
"329",15000,"test","limousine",2008,"automatik",197,100000,"diesel","nein"
"330",12800,"test","kleinwagen",2010,"manuell",105,100000,"diesel","nein"
"331",66900,"control","suv",2014,"automatik",258,30000,"diesel","nein"
"332",12499,"test","kombi",2006,"automatik",218,150000,"benzin","nein"
"333",26300,"test","coupe",2009,"automatik",514,150000,"benzin","nein"
"334",2150,"test","kleinwagen",2002,"automatik",41,150000,"diesel","nein"
"335",2200,"control","kombi",2000,"manuell",90,150000,"diesel","ja"
"336",730,"test","kleinwagen",2005,"manuell",64,125000,"benzin","nein"
"337",6900,"test","kombi",2004,"automatik",245,125000,"benzin","nein"
"338",2950,"control","kombi",2000,"manuell",141,150000,"benzin","ja"
"339",7700,"control","bus",2011,"manuell",128,125000,"diesel","nein"
"340",10900,"control","kombi",2007,"manuell",163,150000,"diesel","nein"
"341",3150,"control","kombi",2007,"manuell",101,150000,"diesel","nein"
"342",1650,"control","kleinwagen",2006,"manuell",60,90000,"benzin","nein"
"343",16500,"control","limousine",2009,"automatik",239,150000,"diesel","nein"
"344",11500,"control","limousine",2012,"manuell",160,90000,"diesel","nein"
"345",3300,"control","limousine",2005,"manuell",95,150000,"benzin","nein"
"346",23900,"test","cabrio",2008,"manuell",650,40000,"benzin","ja"
"347",1499,"test","kleinwagen",2007,"manuell",68,150000,"diesel","nein"
"348",900,"test","limousine",2002,"manuell",101,150000,"diesel","nein"
"349",3100,"control","bus",2003,"manuell",101,150000,"benzin","nein"
"350",7350,"control","limousine",2009,"manuell",116,70000,"benzin","nein"
"351",9450,"control","kombi",2007,"manuell",170,150000,"diesel","nein"
"352",32000,"test","coupe",2014,"automatik",177,40000,"diesel","nein"
"353",5299,"test","limousine",2004,"automatik",218,150000,"diesel","ja"
"354",8750,"control","kombi",2008,"manuell",143,150000,"diesel","nein"
"355",22900,"control","kombi",2014,"manuell",150,20000,"diesel","nein"
"356",7890,"test","kleinwagen",2009,"manuell",86,70000,"benzin","nein"
"357",15000,"test","kleinwagen",2014,"manuell",86,30000,"benzin","nein"
"358",2150,"control","suv",2001,"manuell",117,150000,"benzin","nein"
"359",800,"test","kleinwagen",2001,"manuell",80,150000,"benzin","nein"
"360",8990,"control","cabrio",2003,"manuell",170,150000,"benzin","nein"
"361",5699,"test","kombi",2008,"manuell",125,150000,"diesel","nein"
"362",3300,"test","cabrio",2003,"manuell",61,100000,"benzin","nein"
"363",8900,"control","bus",2008,"manuell",136,100000,"benzin","nein"
"364",17500,"control","limousine",2007,"automatik",387,150000,"benzin","nein"
"365",1500,"test","kleinwagen",2000,"manuell",50,150000,"benzin","nein"
"366",1950,"test","bus",2006,"automatik",170,150000,"lpg","nein"
"367",3000,"control","kombi",2001,"manuell",170,150000,"benzin","nein"
"368",3200,"control","limousine",2002,"manuell",105,90000,"benzin","nein"
"369",800,"test","kombi",2001,"manuell",101,150000,"diesel","nein"
"370",4200,"control","andere",2004,"manuell",116,90000,"benzin","nein"
"371",11200,"test","cabrio",2002,"manuell",170,125000,"benzin","nein"
